Code_dot,Code_iata,City_name,Airport_name
13198.0,MCI,"Kansas City, MO",Kansas City International
13199.0,MCJ,"Maicao, Colombia",Maicao Airport
13200.0,MCK,"McCook, NE",McCook Ben Nelson Regional
13201.0,MCL,"McKinley Park, AK",Denali
13202.0,MCM,"Monte Carlo, Monaco",Monaco Heloport
13203.0,MCN,"Macon, GA",Middle Georgia Regional
13204.0,MCO,"Orlando, FL",Orlando International
13205.0,MCP,"Macapa, Brazil",Alberto Alcolumbre
13206.0,MCR,"Melchor de Mencos, Guatemala",Melchor de Mencos Airport
13207.0,MCS,"Monte Caseros, Argentina",Monte Caseros Airport
13208.0,MCT,"Muscat, Oman",Muscat International
13209.0,MCU,"Montlucon, France",Gueret/Lepaud
13210.0,MCV,"McArthur River, Australia",McArthur River Mine
13211.0,MCW,"Mason City, IA",Mason City Municipal
13212.0,MCY,"Maroochydore, Australia",Sunshine Coast
13213.0,MCZ,"Maceio, Brazil",Zumbi Dos Palmares
16463.0,MD1,"Michellville, MD",Freeway
16710.0,MD2,"Indian Head, MD",Maryland
16974.0,MD3,"Churchville, MD",Harford County
13214.0,MDA,"San Antonio, TX",Martindale AHP
13215.0,MDB,"Melinda, Belize",Melinda Airport
13216.0,MDC,"Menado, Indonesia",Sam Ratulangi
13217.0,MDD,"Midland/Odessa, TX",Midland Airpark
13218.0,MDE,"Medellin, Colombia",Jose Maria Cordova
13219.0,MDF,"Medford, WI",Taylor County
13220.0,MDG,"Mudanjiang, China",Hailang
13221.0,MDH,"Carbondale, IL",Southern Illinois
13222.0,MDI,"Makurdi, Nigeria",Makurdi Airport
13223.0,MDJ,"Madras, OR",Madras Municipal
13224.0,MDK,"Mbandaka, Congo (Kinshasa)",Mbandaka Airport
16418.0,MDL,"Mandalay, Burma",Mandalay International
13226.0,MDO,"Middleton Island, AK",Middleton Island Airport
13227.0,MDQ,"Mar del Plata, Argentina",Mar del Plata Airport
13228.0,MDR,"Medfra, AK",Medfra Airport
13229.0,MDS,"Middle Caicos, Turks and Caicos Islands",Conch Bar
13230.0,MDT,"Harrisburg, PA",Harrisburg International
13231.0,MDU,"Mendi, Papua New Guinea",Mendi Airport
13232.0,MDW,"Chicago, IL",Chicago Midway International
13233.0,MDX,"Mercedes, Argentina",Mercedes Aeroclub
13234.0,MDY,"Midway Island, TT",Sand Island Field
13235.0,MDZ,"Mendoza, Argentina",El Plumerillo
13236.0,ME1,"Rangeley, ME",Stephen A Bean Municipal
