play_id,game_id,team_id_for,team_id_against,event,period,periodType,periodTime,dateTime,goals_away,goals_home,description,eventTime,on_ice_for
2014020227_111,2014020227,18.0,22.0,Goal,1,REGULAR,1146,2014-11-12 01:47:28,0,3,"Filip Forsberg (7) Wrist Shot, assists: Mike Ribeiro (9)",1146,"[8476887, 8471707, 8467371, 8474600, 8470642]"
2014020227_122,2014020227,22.0,18.0,Goal,2,REGULAR,31,2014-11-12 02:09:00,1,3,"Benoit Pouliot (3) Wrist Shot, assists: Ryan Nugent-Hopkins (6), Jordan Eberle (8)",1231,"[8466333, 8471678, 8474586, 8474602, 8476454]"
2014020227_183,2014020227,22.0,18.0,Goal,2,REGULAR,882,2014-11-12 02:34:38,2,3,"Nail Yakupov (3) Slap Shot, assists: David Perron (7), Mark Arcobello (3)",2082,"[8474102, 8476062, 8473507, 8474048, 8476855]"
2014021036_129,2014021036,18.0,24.0,Goal,2,REGULAR,79,2015-03-16 01:04:37,1,0,"Taylor Beck (6) Wrist Shot, assists: Gabriel Bourque (7)",1279,"[8475268, 8468700, 8475192, 8474600, 8470642]"
2014021036_156,2014021036,18.0,24.0,Goal,2,REGULAR,409,2015-03-16 01:14:50,2,0,"Roman Josi (12) Slap Shot, assists: Shea Weber (29), Filip Forsberg (33)",1609,"[8476887, 8464989, 8474600, 8470642, 8475192]"
2014021036_249,2014021036,24.0,18.0,Goal,3,REGULAR,132,2015-03-16 02:04:36,2,1,"Ryan Getzlaf (23) Slap Shot, assists: Corey Perry (19), Patrick Maroon (22)",2532,"[8470621, 8474034, 8470612, 8467400, 8476854]"
2014021036_292,2014021036,24.0,18.0,Goal,3,REGULAR,556,2015-03-16 02:18:22,2,2,"Kyle Palmieri (13) Wrist Shot, assists: Hampus Lindholm (24), Francois Beauchemin (11)",2956,"[8475151, 8473492, 8470616, 8476854, 8467400]"
2014021036_296,2014021036,24.0,18.0,Goal,3,REGULAR,591,2015-03-16 02:19:34,2,3,"Nate Thompson (4) Wrist Shot, assists: Jakob Silfverberg (23), Hampus Lindholm (25)",2991,"[8471699, 8475164, 8470775, 8470886, 8470222]"
2014021036_319,2014021036,24.0,18.0,Goal,3,REGULAR,891,2015-03-16 02:31:28,2,4,"Cam Fowler (7) Wrist Shot, assists: Patrick Maroon (23), James Wisniewski (22)",3291,"[8475764, 8470621, 8470222, 8474034, 8470612]"
2014020192_48,2014020192,52.0,5.0,Goal,1,REGULAR,576,2014-11-07 01:22:47,0,1,"Andrew Ladd (6) Deflected, assists: Bryan Little (6), Zach Bogosian (6)",576,"[8471217, 8473412, 8473564, 8474567, 8470828]"
2014020192_57,2014020192,5.0,52.0,Goal,1,REGULAR,676,2014-11-07 01:27:20,1,1,"Simon Despres (1) Snap Shot, assists: Brandon Sutter (3), Steve Downie (5)",676,"[8474091, 8474096, 8471703, 8475155, 8467452]"
2014020192_153,2014020192,5.0,52.0,Goal,2,REGULAR,410,2014-11-07 02:14:10,2,1,"Brandon Sutter (4) Snap Shot, assists: Robert Bortuzzo (1)",1610,"[8469555, 8474096, 8474145, 8471703, 8474091]"
2014020192_210,2014020192,5.0,52.0,Goal,2,REGULAR,1024,2014-11-07 02:35:34,3,1,"Steve Downie (2) Backhand, assists: Nick Spaling (2), Brandon Sutter (4)",2224,"[8471703, 8474091, 8474096, 8467452, 8474145]"
2014020192_224,2014020192,52.0,5.0,Goal,2,REGULAR,1108,2014-11-07 02:42:24,3,2,"Jacob Trouba (2) Slap Shot, assists: Evander Kane (2), Blake Wheeler (4)",2308,"[8471218, 8475169, 8476885, 8470614]"
2014020192_261,2014020192,52.0,5.0,Goal,3,REGULAR,235,2014-11-07 03:09:54,3,3,"Evander Kane (1) Snap Shot, assists: Blake Wheeler (5), Mark Scheifele (2)",2635,"[8471218, 8475169, 8476460, 8474567, 8470828]"
2014020228_38,2014020228,14.0,16.0,Goal,1,REGULAR,275,2014-11-12 01:47:17,1,0,"Cedric Paquette (4) Wrist Shot, assists: Ondrej Palat (7), Eric Brewer (4)",275,"[8476292, 8477205, 8466142, 8476975]"
2014020228_183,2014020228,16.0,14.0,Goal,2,REGULAR,553,2014-11-12 02:52:57,1,1,"Brad Richards (3) Wrist Shot, assists: Kris Versteeg (3), Brandon Saad (9)",1753,"[8467389, 8476438, 8471346, 8465058, 8466148]"
2014020228_246,2014020228,16.0,14.0,Goal,3,REGULAR,78,2014-11-12 03:37:06,1,2,"Marcus Kruger (2) Tip-In, assists: Niklas Hjalmarsson (4), Marian Hossa (6)",2478,"[8469665, 8466148, 8471769, 8474727, 8475323]"
2014020228_281,2014020228,14.0,16.0,Goal,3,REGULAR,593,2014-11-12 03:53:21,2,2,"Nikita Kucherov (6) Wrist Shot, assists: Steven Stamkos (7), Jonathan Drouin (7)",2993,"[8471873, 8470640, 8476453, 8477494, 8474564]"
2014020593_54,2014020593,2.0,23.0,Goal,1,REGULAR,578,2015-01-07 03:23:07,1,0,"Matt Martin (5) Deflected, assists: Travis Hamonic (6)",578,"[8473504, 8475177, 8475231, 8474709, 8474612]"
2014020593_65,2014020593,23.0,2.0,Goal,1,REGULAR,729,2015-01-07 03:28:33,1,1,"Ryan Stanton (1) Wrist Shot, assists: Brad Richardson (11)",729,"[8469598, 8475598, 8473574, 8470755, 8475178]"
2014020593_168,2014020593,23.0,2.0,Goal,2,REGULAR,481,2015-01-07 04:17:44,1,2,"Nick Bonino (9) Tip-In, assists: Kevin Bieksa (4)",1681,"[8474009, 8475223, 8470274, 8475598, 8469598]"
2014020593_207,2014020593,23.0,2.0,Goal,2,REGULAR,1056,2015-01-07 04:32:25,1,3,"Linden Vey (7) Wrist Shot, assists: Derek Dorsett (9)",2256,"[8473432, 8475223, 8471303, 8469598, 8473574]"
2014020593_271,2014020593,2.0,23.0,Goal,3,REGULAR,873,2015-01-07 05:19:05,2,3,"Mikhail Grabovski (6) Wrist Shot, assists: Kyle Okposo (27)",3273,"[8473449, 8471362, 8474659, 8475181, 8475166]"
2014020267_34,2014020267,6.0,19.0,Goal,1,REGULAR,345,2014-11-19 00:17:53,0,1,"Patrice Bergeron (5) Snap Shot, assists: none",345,"[8470638, 8475191, 8475671, 8474749, 8476792]"
2014020267_152,2014020267,6.0,19.0,Goal,2,REGULAR,691,2014-11-19 01:18:18,0,2,"Torey Krug (3) Wrist Shot, assists: Matt Bartkowski (1), Loui Eriksson (8)",1891,"[8471262, 8467967, 8470626, 8474749, 8476792]"
2014020368_42,2014020368,17.0,13.0,Goal,1,REGULAR,407,2014-12-03 00:49:09,0,1,"Tomas Tatar (10) Deflected, assists: Pavel Datsyuk (7), Stephen Weiss (3)",407,"[8468509, 8476430, 8467514, 8469457, 8475193]"
2014020368_89,2014020368,13.0,17.0,Goal,1,REGULAR,911,2014-12-03 01:07:07,1,1,"Jimmy Hayes (6) Wrist Shot, assists: Vincent Trocheck (8), Dmitry Kulikov (7)",911,"[8475204, 8475179, 8474625, 8476389, 8465185]"
2014020368_165,2014020368,13.0,17.0,Goal,2,REGULAR,741,2014-12-03 01:54:52,2,1,"Sean Bergenheim (4) Wrist Shot, assists: Jussi Jokinen (11), Brad Boyes (8)",1941,"[8468504, 8475153, 8475790, 8469638, 8470176]"
2014020368_207,2014020368,13.0,17.0,Goal,3,REGULAR,27,2014-12-03 02:30:05,3,1,"Vincent Trocheck (2) Wrist Shot, assists: Jimmy Hayes (6)",2427,"[8477932, 8475204, 8466285, 8474625, 8476389]"
2014020368_244,2014020368,13.0,17.0,Goal,3,REGULAR,480,2014-12-03 02:42:54,4,1,"Aaron Ekblad (4) Slap Shot, assists: Jonathan Huberdeau (7), Vincent Trocheck (9)",2880,"[8476456, 8476389, 8477932, 8470039, 8466285]"
2014020368_257,2014020368,17.0,13.0,Goal,3,REGULAR,572,2014-12-03 02:47:39,4,2,"Pavel Datsyuk (10) Wrist Shot, assists: none",2972,"[8471693, 8468083, 8467514, 8476430, 8468509]"
2014020368_302,2014020368,17.0,13.0,Goal,3,REGULAR,1141,2014-12-03 03:08:18,4,3,"Gustav Nyquist (12) Wrist Shot, assists: Johan Franzen (10), Henrik Zetterberg (19)",3541,"[8471309, 8474679, 8467514, 8468509, 8468083, 8477215]"
2014020193_154,2014020193,18.0,25.0,Goal,2,REGULAR,250,2014-11-07 02:39:31,1,0,"Craig Smith (5) Snap Shot, assists: Derek Roy (6), Ryan Ellis (6)",1450,"[8474569, 8475225, 8469485, 8475176, 8470642]"
2014020193_200,2014020193,18.0,25.0,Goal,2,REGULAR,837,2014-11-07 02:59:14,2,0,"Filip Forsberg (5) Wrist Shot, assists: Roman Josi (3), Mattias Ekholm (4)",2037,"[8475218, 8476887, 8471707, 8467371, 8474600]"
2014020193_215,2014020193,25.0,18.0,Goal,2,REGULAR,986,2014-11-07 03:06:01,2,1,"Trevor Daley (5) Wrist Shot, assists: none",2186,"[8470110, 8469466, 8469455, 8477501, 8474818]"
2014020193_284,2014020193,25.0,18.0,Goal,3,REGULAR,443,2014-11-07 03:42:26,2,2,"Patrick Eaves (2) Backhand, assists: Tyler Seguin (9), Antoine Roussel (3)",2843,"[8474849, 8470622, 8470110, 8475794, 8471274]"
2014020193_309,2014020193,18.0,25.0,Goal,3,REGULAR,827,2014-11-07 03:55:14,3,2,"Matt Cullen (1) Wrist Shot, assists: Derek Roy (7), Mattias Ekholm (5)",3227,"[8475225, 8469485, 8464989, 8475218, 8475176]"
2014020866_31,2014020866,9.0,7.0,Goal,1,REGULAR,444,2014-12-16 00:20:17,1,0,"Bobby Ryan (7) Backhand, assists: Mike Hoffman (6), Mika Zibanejad (7)",444,"[8471676, 8476879, 8475174, 8476459, 8474884]"
2014020866_94,2014020866,7.0,9.0,Goal,2,REGULAR,251,2014-12-16 01:09:25,1,1,"Rasmus Ristolainen (2) Slap Shot, assists: Chris Stewart (2), Brian Gionta (7)",1451,"[8467407, 8477507, 8477499, 8473485, 8474570]"
2014020866_109,2014020866,7.0,9.0,Goal,2,REGULAR,420,2014-12-16 01:16:10,1,2,"Matt Moulson (7) Backhand, assists: Andrej Meszaros (4), Tyler Ennis (14)",1620,"[8471236, 8470852, 8474589, 8476878, 8470378]"
2014020866_112,2014020866,7.0,9.0,Goal,2,REGULAR,452,2014-12-16 01:17:22,1,3,"Marcus Foligno (5) Wrist Shot, assists: Brian Flynn (3), Tyler Myers (7)",1652,"[8476808, 8467407, 8475220, 8477507, 8474574]"
2014020866_152,2014020866,9.0,7.0,Goal,2,REGULAR,822,2014-12-16 01:31:35,2,3,"Mark Stone (7) Snap Shot, assists: Kyle Turris (15), Cody Ceci (8)",2022,"[8470667, 8474068, 8475913, 8476879, 8475174]"
2014020866_189,2014020866,9.0,7.0,Goal,3,REGULAR,122,2014-12-16 02:03:31,3,3,"Curtis Lazar (1) Wrist Shot, assists: Erik Condra (2), Alex Chiasson (8)",2522,"[8473588, 8475163, 8477508, 8474697, 8474578]"
2014020866_200,2014020866,9.0,7.0,Goal,3,REGULAR,304,2014-12-16 02:07:37,4,3,"Alex Chiasson (7) Backhand, assists: Mark Borowiecki (2)",2704,"[8477508, 8473588, 8475163, 8474697, 8474578]"
2014020866_258,2014020866,7.0,9.0,Goal,3,REGULAR,991,2014-12-16 02:31:08,4,4,"Brian Flynn (4) Wrist Shot, assists: Marcus Foligno (4), Andre Benoit (2)",3391,"[8470378, 8476808, 8467407, 8474574, 8475220]"
2014021184_76,2014021184,16.0,19.0,Goal,1,REGULAR,852,2015-04-06 01:02:16,0,1,"Kris Versteeg (14) Wrist Shot, assists: Marian Hossa (38)",852,"[8473604, 8471346, 8466148, 8471769, 8470281]"
2014021184_149,2014021184,19.0,16.0,Goal,2,REGULAR,367,2015-04-06 01:42:00,1,1,"David Backes (26) Wrist Shot, assists: Jaden Schwartz (34), Kevin Shattenkirk (35)",1567,"[8470655, 8475768, 8474031, 8471669, 8471698]"
2014021184_201,2014021184,19.0,16.0,Goal,2,REGULAR,912,2015-04-06 02:00:40,2,1,"Olli Jokinen (4) Wrist Shot, assists: Ty Rattie (2), Alex Pietrangelo (38)",2112,"[8474031, 8476427, 8466140, 8474627, 8474565]"
2014021021_207,2014021021,3.0,7.0,Goal,3,REGULAR,451,2015-03-15 01:04:10,1,0,"Keith Yandle (5) Slap Shot, assists: Martin St. Louis (27), Chris Kreider (19)",2851,"[8475184, 8474613, 8471735, 8466378, 8471436]"
2014021021_257,2014021021,3.0,7.0,Goal,3,REGULAR,1167,2015-03-15 01:27:35,2,0,"Martin St. Louis (20) Wrist Shot, assists: none",3567,"[8467096, 8474151, 8474613, 8475184, 8466378]"
2014020053_51,2014020053,6.0,8.0,Goal,1,REGULAR,543,2014-10-17 01:04:49,1,0,"Zdeno Chara (1) Tip-In, assists: David Krejci (1), Milan Lucic (1)",543,"[8471276, 8473473, 8476495, 8476792, 8465009]"
2014020053_65,2014020053,8.0,6.0,Goal,1,REGULAR,693,2014-10-17 01:11:24,1,1,"Max Pacioretty (2) Tip-In, assists: David Desharnais (2), Brendan Gallagher (2)",693,"[8467496, 8475848, 8471976, 8474157, 8474056]"
2014020053_152,2014020053,8.0,6.0,Goal,2,REGULAR,463,2014-10-17 01:57:19,1,2,"Brendan Gallagher (2) Wrist Shot, assists: David Desharnais (3), Max Pacioretty (1)",1663,"[8475848, 8471976, 8474157, 8467496, 8470104]"
2014020053_160,2014020053,6.0,8.0,Goal,2,REGULAR,514,2014-10-17 01:59:34,2,2,"Carl Soderberg (1) Wrist Shot, assists: Chris Kelly (2), Loui Eriksson (1)",1714,"[8471262, 8467967, 8470626, 8476191, 8476792]"
